gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00000444-RA	0	0
H2NCmale_00000445-RA	0	0
H2NCmale_00000446-RA	0	0
H2NCmale_00000447-RA	0	0
H2NCmale_00000448-RA	0	0
H2NCmale_00000449-RA	0	0
H2NCmale_00000450-RA	0	0
H2NCmale_00000451-RA	0	0
H2NCmale_00000452-RA	0	0
H2NCmale_00000457-RA	0	0
H2NCmale_00000458-RA	0	0
H2NCmale_00000459-RA	0	0
H2NCmale_00000460-RA	0	0
H2NCmale_00000461-RA	0	0
H2NCmale_00000462-RA	0	0
H2NCmale_00000463-RA	0	0
H2NCmale_00000464-RA	0	0
H2NCmale_00000465-RA	0	0
H2NCmale_00000466-RA	0	0
H2NCmale_00000467-RA	0	0
H2NCmale_00000470-RA	0	0
H2NCmale_00000471-RA	0	0
H2NCmale_00000472-RA	0	0
H2NCmale_00000473-RA	0	0
H2NCmale_00000475-RA	0	0
H2NCmale_00000476-RA	0	0
H2NCmale_00000477-RA	0	0
H2NCmale_00000478-RA	0	0
H2NCmale_00000479-RA	0	0
H2NCmale_00000482-RA	0	0
H2NCmale_00000483-RA	0	0
H2NCmale_00000484-RA	0	0
H2NCmale_00000486-RA	0	0
H2NCmale_00000487-RA	0	0
H2NCmale_00000490-RA	0	0
H2NCmale_00000491-RA	0	0
H2NCmale_00000492-RA	0	0
H2NCmale_00000493-RA	0	0
H2NCmale_00000494-RA	0	0
H2NCmale_00000495-RA	0	0
H2NCmale_00000496-RA	0	0
H2NCmale_00000500-RA	0	0
H2NCmale_00000501-RA	0	0
H2NCmale_00000505-RA	0	0
H2NCmale_00000506-RA	0	0
H2NCmale_00000507-RA	0	0
H2NCmale_00000508-RA	0	0
H2NCmale_00000509-RA	0	0
H2NCmale_00000510-RA	0	0
H2NCmale_00000511-RA	0	0
H2NCmale_00000512-RA	0	0
H2NCmale_00000513-RA	0	0
H2NCmale_00000514-RA	0	0
H2NCmale_00000515-RA	0	0
H2NCmale_00000516-RA	0	0
H2NCmale_00000518-RA	0	0
H2NCmale_00000519-RA	0	0
H2NCmale_00000520-RA	0	0
H2NCmale_00000521-RA	0	0
H2NCmale_00000522-RA	0	0
